CODE_GENDER_F,CODE_GENDER_M,CODE_REJECT_REASON_CLIENT_mean,CODE_REJECT_REASON_HC_mean,CODE_REJECT_REASON_LIMIT_mean,CODE_REJECT_REASON_SCOFR_mean,CODE_REJECT_REASON_SCO_mean,CODE_REJECT_REASON_SYSTEM_mean,CODE_REJECT_REASON_VERIF_mean,CODE_REJECT_REASON_XAP_mean,CODE_REJECT_REASON_XNA_mean,EXT_SOURCE_2,EXT_SOURCE_3,FLAG_OWN_CAR_N,FLAG_OWN_CAR_Y,NAME_EDUCATION_TYPE_Academic degree,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Lower secondary,NAME_EDUCATION_TYPE_Secondary / secondary special,TARGET
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6742032101473874,0.3996756156233169,1,0,0,0,0,0,1,1
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2567370429595146,0.7076993447402619,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1238882922844139,0.8327850252992314,1,0,0,0,0,0,1,0
1,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.4885999153777029,0.5108529061800121,1,0,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,0.5970811533321667,0.5108529061800121,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.608604105963283,0.228883416700673,0,1,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5861504130199274,0.5814837058057234,1,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2820694905045227,0.1206410299309233,1,0,0,0,1,0,0,1
1,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5978227034457954,0.746300213050371,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6887921778530354,0.5226973172821112,1,0,0,1,0,0,0,0
1,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.1117667170159572,0.1929422277169508,1,0,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.593340422792271,0.3031463744186309,0,1,0,1,0,0,0,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3721102589242765,0.5064842396679806,1,0,0,1,0,0,0,1
1,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6219784526230758,0.7449321846094795,1,0,0,1,0,0,0,0
0,1,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6348960636020012,0.2970866116472028,1,0,0,1,0,0,0,0
0,1,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.3940749254999855,0.4543210601605785,1,0,0,1,0,0,0,0
0,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.6126231664059472,0.5108529061800121,0,1,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.474891701732854,0.3154721549257734,1,0,0,0,0,0,1,1
0,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.7807633668999076,0.7700870700124128,1,0,0,0,0,0,1,0
0,1,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.6336075825314255,0.2103502286944494,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.540298243263855,0.4956658291397297,1,0,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4352513119138168,0.5108529061800121,1,0,0,0,1,0,0,0
0,1,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.2629952143123565,0.0902209392907684,1,0,0,0,0,0,1,0
1,0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.2160482176858288,0.5108529061800121,1,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1995430892462679,0.7850520263728172,1,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6618868600420863,0.6801388218428291,1,0,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4822091852232648,0.0651096140026964,1,0,0,0,0,0,1,1
1,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5331862806077896,0.3859146722745145,0,1,0,0,0,0,1,0
0,1,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.75,0.0,0.7292988671189998,0.7738956942145427,1,0,0,0,0,0,1,0
1,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.3065058156503732,0.3962195720630885,1,0,0,0,0,0,1,1
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1326310788663782,0.6092756673894402,0,1,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4604877181545585,0.7662336700704004,0,1,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4833231065223279,0.7636399214572418,1,0,0,0,0,0,1,0
1,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.7778864376281709,0.5154953751603267,1,0,0,1,0,0,0,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.522166539608632,0.5108529061800121,0,1,0,0,0,0,1,0
1,0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.4205738447723025,0.5108529061800121,1,0,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7368211682563758,0.1604889306273446,1,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.534557615022518,0.2707073872651806,1,0,0,1,0,0,0,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6912010832234691,0.6832688314232291,0,1,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5585773234806426,0.6075573001388961,1,0,0,1,0,0,0,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5492352177130054,0.4614823912998385,1,0,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6642757720417982,0.7091891096653581,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.4964047281986215,0.3217352821966848,1,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6964040179960773,0.8106180215523969,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7180575365896832,0.5108529061800121,1,0,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7244366045084587,0.4992720153045617,1,0,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5574447299329154,0.5108529061800121,1,0,0,0,0,0,1,0
1,0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.5709074358579761,0.5388627065779676,1,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4354287023920261,0.5726825047161584,0,1,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5973599442844661,0.4686596550493113,1,0,0,0,0,0,1,0
1,0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2251840100654198,0.213966852261798,0,1,0,1,0,0,0,0
1,0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.4757806372272825,0.6347055309763198,0,1,0,0,0,0,1,0
1,0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.6287614143774005,0.4014074137749511,1,0,0,0,0,0,1,0
1,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.3233695403077088,0.2650494299443805,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0893242230482238,0.5108529061800121,1,0,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,0.0421026699183325,0.7076993447402619,0,1,0,0,0,0,1,0
1,0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.4939503253502717,0.4632753280912678,1,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.7974668019357112,0.4848514754962666,1,0,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.492758753202071,0.6397075677637197,0,1,0,1,0,0,0,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5708485084212848,0.656158373001177,0,1,0,0,0,0,1,0
0,1,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.3373143908881509,0.0005272652387098,1,0,0,0,0,0,1,1
0,1,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.5714285714285714,0.0,0.5513998261936828,0.2955826421513093,1,0,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.4361706957379433,0.6006575372857061,1,0,0,0,0,0,1,0
1,0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.5002806951801088,0.4436153084085652,1,0,0,0,0,0,1,0
0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.640040616163284,0.4902575124990026,0,1,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4201262789303637,0.5108529061800121,1,0,0,0,0,0,1,0
1,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.7569577556667334,0.4596904504249018,1,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6418523047295879,0.5762088360175724,1,0,0,1,0,0,0,0
1,0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.226648660130992,0.5478104658520093,1,0,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6137486902879087,0.3506958432829587,0,1,0,1,0,0,0,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4277682433279565,0.7076993447402619,0,1,0,0,0,0,1,0
1,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.1027891899303852,0.5108529061800121,1,0,0,1,0,0,0,1
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7335216416596809,0.6397075677637197,0,1,0,1,0,0,0,0
0,1,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.7024309001366358,0.326475210066026,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6385883839883059,0.25533177083329,1,0,0,1,0,0,0,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6572370053337676,0.6496203111237195,0,1,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6084738739667993,0.5108529061800121,0,1,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6945700582821578,0.5226973172821112,1,0,0,0,0,0,1,0
1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.7533106081237968,0.4135967602644276,0,1,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6610446138939915,0.5762088360175724,0,1,0,0,0,0,1,0
1,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.4676557566652779,0.6817058776720116,0,1,0,0,0,0,1,0
1,0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6083019440819857,0.5656079814115492,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5195415432274064,0.4525335592581747,1,0,0,0,0,0,1,0
1,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.4559818861666886,0.4118485559242397,1,0,0,1,0,0,0,0
1,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.540330831394113,0.5108529061800121,1,0,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.875,0.0,0.733842099214001,0.5108529061800121,1,0,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3572819736123357,0.7934490301648944,0,1,0,1,0,0,0,0
1,0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.8181818181818182,0.0,0.6192547685676049,0.7934490301648944,1,0,0,0,0,0,1,0
1,0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.746966150308777,0.6246146584503397,1,0,0,1,0,0,0,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4955410149432618,0.5108529061800121,1,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4221200120337802,0.5108529061800121,1,0,0,0,0,0,1,0
0,1,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.6868341411492649,0.5262949398096192,1,0,0,0,0,0,1,0
1,0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.7363586963757305,0.3740208032583212,0,1,0,0,0,0,1,0
0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3409312518707089,0.656158373001177,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5942740028444657,0.5832379256761245,0,1,0,1,0,0,0,0
0,1,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0447900503175182,0.5108529061800121,0,1,0,1,0,0,0,0
0,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.268868925558812,0.5849900404894085,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7087133756940833,0.5108529061800121,1,0,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1683487273817445,0.4561097392782771,0,1,0,0,0,0,1,1
1,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6007057265842111,0.6940926425266661,0,1,0,1,0,0,0,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3506364483717749,0.6058362647264226,0,1,0,0,0,0,1,0
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6009050245449853,0.520897599048938,0,1,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7033031841404925,0.0005272652387098,1,0,0,0,0,0,1,0
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6650994444116559,0.7688075728291359,1,0,0,0,0,0,1,0
